hotel_id,reservation_id,confirmation_code,last_name,phone_number_or_account
HOTEL_001,RES_001,CONF-HOTEL-001,SMITH,555-0123
HOTEL_001,RES_002,CONF-HOTEL-002,JOHNSON,555-0456
HOTEL_001,RES_003,CONF-HOTEL-003,BROWN,555-0789
HOTEL_001,RES_004,CONF-HOTEL-004,DAVIS,555-0234
HOTEL_001,RES_005,CONF-HOTEL-005,WILSON,555-0567
HOTEL_001,RES_006,CONF-HOTEL-006,ANDERSON,555-0890
HOTEL_001,RES_007,CONF-HOTEL-007,MARTINEZ,555-0345
HOTEL_001,RES_008,CONF-HOTEL-008,TAYLOR,555-0678
HOTEL_001,RES_009,CONF-HOTEL-009,LEE,555-0901
HOTEL_001,RES_010,CONF-HOTEL-010,WHITE,555-0123
HOTEL_002,RES_011,CONF-HTL2-001,GARCIA,555-1234
HOTEL_002,RES_012,CONF-HTL2-002,RODRIGUEZ,555-2345
HOTEL_002,RES_013,CONF-HTL2-003,LOPEZ,555-3456
HOTEL_002,RES_014,CONF-HTL2-004,GONZALEZ,555-4567
HOTEL_002,RES_015,CONF-HTL2-005,CLARK,555-5678
