Platform,Restaurant,Order ID,Order Status,Customer Name,Order Details,Total Amount
McDonald's,McDonald's,ORD_6ccd1388,Restaurant Received Order,John Doe,"[{'item': 'McFlurry', 'amount': 1, 'price': 3.99},{'item': 'Fries', 'amount': 2, 'price': 5.98},{'item': 'Big Mac', 'amount': 1, 'price': 5.99}]",19.95
AA Brunch,AA Brunch,ORD_e9d626d7,Delivering to Location,Lebron James,"[{'item': 'Blueberry pancake', 'amount': 1, 'price': 16.0},{'item': 'Chocolate chip waffle', 'amount': 2, 'price': 21.0},{'item': 'Savory French toast', 'amount': 3, 'price': 34.5}]",75.49
Starbucks,Starbucks,ORD_41d40cf1,Preparing Order,Lebron James,"[{'item': 'Sweet Tea', 'amount': 1, 'price': 1.99},{'item': 'Latte', 'amount': 2, 'price': 7.98}]",13.96
Grubhub,McDonald's,ORD_c1da35b5,Preparing Order,John Doe,"[{'item': 'McFlurry', 'amount': 1, 'price': 3.99},{'item': 'Fries', 'amount': 2, 'price': 5.98},{'item': 'Big Mac', 'amount': 1, 'price': 5.99}]",21.95
Doordash,Lucky Dragon,ORD_d1d2ef4f,Restaurant Received Order,Lebron James,"[{'item': 'Shrimp Fried Rice', 'amount': 1, 'price': 11.0},{'item': 'Mapo Tofu', 'amount': 1, 'price': 12.5}]",29.99
Starbucks,Starbucks,ORD_f1f36078,Preparing Order,Lebron James,"[{'item': 'Mocha', 'amount': 3, 'price': 14.97}]",23.94
Grubhub,Tokyo Dreams,ORD_3b24733f,Delivered,Kobe Bryant,"[{'item': 'Green Tea', 'amount': 2, 'price': 7.0},{'item': 'Matcha Cheesecake', 'amount': 1, 'price': 8.0},{'item': 'Tuna Nigiri', 'amount': 1, 'price': 16.5},{'item': 'Salmon Sashimi', 'amount': 1, 'price': 18.0},{'item': 'Dragon Roll', 'amount': 2, 'price': 28.0}]",83.49
Tokyo Dreams,Tokyo Dreams,ORD_83666922,Restaurant Received Order,Kobe Bryant,"[{'item': 'Green Tea', 'amount': 2, 'price': 7.0},{'item': 'Matcha Cheesecake', 'amount': 1, 'price': 8.0},{'item': 'Tuna Nigiri', 'amount': 1, 'price': 16.5},{'item': 'Salmon Sashimi', 'amount': 1, 'price': 18.0},{'item': 'Dragon Roll', 'amount': 2, 'price': 28.0}]",81.49
UberEats,BBQ Chicken,ORD_87d124c7,Restaurant Received Order,Steve Jobs,"[{'item': 'Whole Roasted Chicken', 'amount': 1, 'price': 23.99},{'item': 'Fried drumsticks', 'amount': 2, 'price': 33.98}]",64.96
UberEats,BBQ Chicken,ORD_81bdb84f,Delivering to Location,Steve Jobs,"[{'item': 'Whole Roasted Chicken', 'amount': 2, 'price': 47.98},{'item': 'Fried drumsticks', 'amount': 4, 'price': 67.96}]",122.93
Best Tea House,Best Tea House,ORD_f8c787eb,Delivered,Steve Jobs,"[{'item': 'Tie Guan Yin Tea', 'size': 'Large', 'amount': 1, 'price': 14.9},{'item': 'Jasmine Peach Tea', 'size': 'Medium', 'amount': 2, 'price': 23.8}]",38.7
Tokyo Dreams,Tokyo Dreams,ORD_84ba1558,Preparing Order,Kobe Bryant,"[{'item': 'Matcha Cheesecake', 'amount': 1, 'price': 8.0},{'item': 'Green Tea', 'amount': 3, 'price': 10.5},{'item': 'Tuna Nigiri', 'amount': 1, 'price': 16.5},{'item': 'Salmon Sashimi', 'amount': 1, 'price': 18.0},{'item': 'Dragon Roll', 'amount': 2, 'price': 28.0}]",84.99
